Address,Flag,Total Ether Balance,Total Transactions (including contract creation),Time Difference First-Last (min),Avg Min Between Sent Tnx,Avg Min Between Received Tnx,Sent Transactions,Received Transactions,Unique Received From Addresses,Unique Sent To Addresses,Min Value Received,Max Value Received,Avg Value Received,Min Value Sent,Max Value Sent,Avg Value Sent,Total Ether Sent,Total Ether Received,Total ERC20 Transactions,ERC20 Total Ether Received,ERC20 Total Ether Sent,ERC20 Unique Sent Addresses,ERC20 Unique Received Addresses,ERC20 Avg Time Between Sent Txn (min),ERC20 Avg Time Between Received Txn (min),ERC20 Min Value Received,ERC20 Max Value Received,ERC20 Avg Value Received,ERC20 Min Value Sent,ERC20 Max Value Sent,ERC20 Avg Value Sent,ERC20 Unique Sent Token Names,ERC20 Unique Received Token Names,ERC20 Most Sent Token Type,ERC20 Most Received Token Type,Time Diff Between First and Last Txn (min),O-Avg Gas Price (Gwei),O-Avg Gas Limit (Gwei),O-Avg Gas Used (Gwei),O-Transaction Frequency (min),O-Gas Price Volatility (Gwei),O-Min Gas Volatility (Gwei),O-Max Gas Volatility (Gwei),O-Avg Gas Price Volatility (Gwei),O-Transaction Success-Failure Ratio,O-Total Gas Price (Gwei),O-Base Fee,O-Tip
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,1,0.01,3,1927560.15,0,642520.0333333333,0,3,3,0,0.01,1.337,0.8946666666666666,0,0,0,0,2.6839999999999997,3,2.6839999999999997,0,0,3,0,642520.05,0.01,1.337,0.8946666666666666,0,0,0,0,3,0,Blockwell say NOTSAFU,1927560.15,26,2.1e-05,2.1e-05,4324.516666666666,30,11,41,15,2,52,11,41
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1,6.5260085289e-05,1,0,0,0,0,1,1,0,1.337,1.337,1.337,0,0,0,0,1.337,1,1.337,0,0,1,0,0,1.337,1.337,1.337,0,0,0,0,1,0,Blockwell say NOTSAFU,0,19.392503464333334,2.1e-05,2.1e-05,2497263.3833333333,7.822489607,14.17751039,22,3.476662047555555,3,58.17751039,15.48125866,42.69625173
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,1,0.01,97,793191.6833333333,3073.439855072464,10718.789864864864,23,74,56,6,1e-15,26436.081,1928.0862552179497,1e-11,81324.0746,5232.816018336198,120354.76842173254,142678.38288612827,97,142678.38288612827,120354.76842173254,6,56,3073.4565217391305,10718.80653153153,1e-15,26436.081,1928.0862552179497,1e-11,81324.0746,5232.816018336198,22,38,OCoin,OCoin,793191.6833333333,21.620689655172413,0.00013970241379310347,3.435420689655172e-05,71478.8,9,21,30,1.155766944114149,13.5,627,17.12068966,609.87931034
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,1,7e-06,2,2051351.1833333333,0,1025675.575,0,2,2,0,0.01,14,7.005,0,0,0,0,14.01,2,14.01,0,0,2,0,1025675.5916666667,0.01,14,7.005,0,0,0,0,2,0,ELF,2051351.1833333333,16.5,2.1e-05,2.1e-05,99996.2,31,1,32,15.5,2,33,1,32
0x0084515449b037205a33d6d3940a5684126aa4b5,1,0.000324906943271603,1,0,0,0,0,1,1,0,13.37,13.37,13.37,0,0,0,0,13.37,1,13.37,0,0,1,0,0,13.37,13.37,13.37,0,0,0,0,1,0,Blockwell say NOTSAFU,0,41,2.1e-05,2.1e-05,3730.1666666666665,0,41,41,0,2,82,41,41
0x008f3db10374099a11ec263415cb88c952abeedc,1,0,1,0,0,0,0,1,1,0,1386.486551512466,1386.486551512466,1386.486551512466,0,0,0,0,1386.486551512466,1,1386.486551512466,0,0,1,0,0,1386.486551512466,1386.486551512466,1386.486551512466,0,0,0,0,1,0,XENON,0,21,2.1e-05,2.1e-05,26.066666666666666,0,21,21,0,8,168,21,147
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,1,0.000683003425603681,2,1923965.2666666666,0,961982.6166666667,0,2,2,0,0.01,13.37,6.6899999999999995,0,0,0,0,13.379999999999999,2,13.379999999999999,0,0,2,0,961982.6333333333,0.01,13.37,6.6899999999999995,0,0,0,0,2,0,Blockwell say NOTSAFU,1923965.2666666666,0,0,0,0,0,0,0,0,0,0,0,0
0x00e01a648ff41346cdeb873182383333d2184dd1,1,0.24222868506637338,54,3256860.05,1.5611111111111111,63859.984313725494,3,51,38,1,7.77e-16,20180.614,585.5793357177167,2.5e-07,208.73504509262895,69.5783502589483,208.7350507768449,29864.546121603555,54,29864.546121603555,208.7350507768449,1,38,1.577777777777778,63860.000980392164,7.77e-16,20180.614,585.5793357177167,2.5e-07,208.73504509262895,69.5783502589483,3,34,EOS,FIFA.win,3256860.05,49.86666666666667,3.910739999999999e-05,2.8640733333333332e-05,418775.45,89,10,99,26.204444444444444,6.5,748,5.366666667,742.633333333
0x00eb6f5199cd0b671da371969b1a0f948e982fea,1,0.014785999999994,4,476026.8,0,119006.68333333333,0,4,4,0,9.11e-16,99,25.4185,0,0,0,0,101.674,4,101.674,0,0,4,0,119006.7,9.11e-16,99,25.4185,0,0,0,0,4,0,ERC20,476026.8,103.6428571,2.1e-05,2.1e-05,1485462.1166666667,125.2857143,41,166.2857143,62.64285714,2,207.2857143,41,166.2857143
0x015fca1d09287823e634ae51237ee1eeff03d9d5,1,6e-05,1,0,0,0,0,1,1,0,13.37,13.37,13.37,0,0,0,0,13.37,1,13.37,0,0,1,0,0,13.37,13.37,13.37,0,0,0,0,1,0,Blockwell say NOTSAFU,0,23,2.1e-05,2.1e-05,0,0,23,23,0,1,23,23,0
0x017f86b90a46d8fd999eaefda1339355b98da12f,1,0,1,0,0,0,0,1,1,0,13.37,13.37,13.37,0,0,0,0,13.37,1,13.37,0,0,1,0,0,13.37,13.37,13.37,0,0,0,0,1,0,Blockwell say NOTSAFU,0,41,2.1e-05,2.1e-05,0,0,41,41,0,1,41,41,0
0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,1,0,4,162916.28333333333,0,40729.05416666667,0,4,3,0,1.337,1.337,1.337,0,0,0,0,5.348,4,5.348,0,0,3,0,40729.07083333333,1.337,1.337,1.337,0,0,0,0,2,0,Blockwell say NOTSAFU,162916.28333333333,41,2.1e-05,2.1e-05,0,0,41,41,0,1,41,41,0
0x024c344da7208e60356378a252dab771c34be111,1,0,3,1927573.1166666667,0,642524.3555555556,0,3,3,0,0.01,1.337,0.8946666666666666,0,0,0,0,2.6839999999999997,3,2.6839999999999997,0,0,3,0,642524.3722222223,0.01,1.337,0.8946666666666666,0,0,0,0,3,0,Blockwell say NOTSAFU,1927573.1166666667,50,2.1e-05,2.1e-05,0,0,50,50,0,1,50,50,0
0x02d0b53ec925f5c5907eb3dd85bededaa4362564,1,0,3,143560.9,0,47853.61666666667,0,3,3,0,1e-18,13.37,4.456666666666666,0,0,0,0,13.37,3,13.37,0,0,3,0,47853.63333333333,1e-18,13.37,4.456666666666666,0,0,0,0,3,0,Blockwell say NOTSAFU,143560.9,50,2.1e-05,2.1e-05,13375.383333333333,0,50,50,0,2,100,50,50
0x02d1347abe00beaa073058b1414722cdcc31abb3,1,0,2,1923965.2666666666,0,961982.6166666667,0,2,2,0,0.01,13.37,6.6899999999999995,0,0,0,0,13.379999999999999,2,13.379999999999999,0,0,2,0,961982.6333333333,0.01,13.37,6.6899999999999995,0,0,0,0,2,0,Blockwell say NOTSAFU,1923965.2666666666,41,2.1e-05,2.1e-05,0,0,41,41,0,1,41,41,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,1,5.397032497e-09,3,247.56666666666666,0,21.241666666666667,1,2,2,1,16278.05937,21214.1039,18746.08163,37492.16326,37492.16326,37492.16326,37492.16326,37492.16326,3,37492.16326,37492.16326,1,2,0,21.258333333333333,16278.05937,21214.1039,18746.08163,37492.16326,37492.16326,37492.16326,1,1,Fortecoin,Fortecoin,247.56666666666666,10.3875,3.756804999999998e-05,2.1393049999999993e-05,340000.36666666664,39.8,1.2,41,5.536875,40,415.5,-9.5125,425.0125
0x03e115d99f005f9df8accec3f3d07f54b593ee96,1,0.00297,1,0,0,0,0,1,1,0,1.337,1.337,1.337,0,0,0,0,1.337,1,1.337,0,0,1,0,0,1.337,1.337,1.337,0,0,0,0,1,0,Blockwell say NOTSAFU,0,99,5.1e-05,2.1e-05,0,0,99,99,0,1,99,99,0
0x03f034fb47965123ea4148e3147e2cfdc5b1f7a5,1,0.00179703235753823,5,344130.56666666665,0,68826.09666666666,0,5,4,0,9.11e-16,1000,295.474,0,0,0,0,1477.37,5,1477.37,0,0,4,0,68826.11333333333,9.11e-16,1000,295.474,0,0,0,0,5,0,ROOMDAO COIN (RDC),344130.56666666665,28.21212121212121,2.1e-05,2.1e-05,1120569.1,70,23,93,9.476584022038566,33,931,-6.787878788,937.787878788
0x043375ebc36fff7a4fcef1359f3c89afddf56e08,1,0.00357909494890445,4,477438.6,0,159146.18333333332,1,3,3,1,1.337,2299.5284644387,767.4008214795667,2299.5284644387,2299.5284644387,2299.5284644387,2299.5284644387,2302.2024644387,4,2302.2024644387,2299.5284644387,1,3,0,159146.2,1.337,2299.5284644387,767.4008214795667,2299.5284644387,2299.5284644387,2299.5284644387,1,3,Vezt,Vezt,477438.6,36.30769230769231,4.1176538461538467e-05,2.5770769230769237e-05,91388.06666666667,26,15,41,7.218934911242604,13,472,23.30769231,448.69230769
0x046e3a705d9bcd0e53d2b45161b48e39f4bc4090,1,0.00209662,1,0,0,0,0,1,1,0,13.37,13.37,13.37,0,0,0,0,13.37,1,13.37,0,0,1,0,0,13.37,13.37,13.37,0,0,0,0,1,0,Blockwell say NOTSAFU,0,23,2.1e-05,2.1e-05,9.6,0,23,23,0,2,46,23,23
0x049b01966f721db6ec76097043e9d6eccaf719b6,1,0,10,2444822.1,813380.7888888889,67961.57142857143,3,7,7,3,1.5e-14,600000,89651.44359933436,2.145195140594695,600000,202434.70173171352,607304.1051951406,627560.1051953406,10,627560.1051953406,607304.1051951406,3,7,813380.8055555556,67961.5880952381,1.5e-14,600000,89651.44359933436,2.145195140594695,600000,202434.70173171352,3,7,cVToken,cVToken,2444822.1,17.0625,7.04646875e-05,2.9762625000000004e-05,2478428.9,17,6,23,6.6796875,15,273,8.5625,264.4375
0x051005cdcecd916fb8b98643d923646acc7e07cd,1,0,1,0,0,0,0,1,1,0,1.337,1.337,1.337,0,0,0,0,1.337,1,1.337,0,0,1,0,0,1.337,1.337,1.337,0,0,0,0,1,0,Blockwell say NOTSAFU,0,41,2.1e-05,2.1e-05,29.516666666666666,0,41,41,0,3,123,41,82
0x058e49378461c239dae065114cd9fa1c0dbc25c1,1,0,1,0,0,0,0,1,1,0,100,100,100,0,0,0,0,100,1,100,0,0,1,0,0,100,100,100,0,0,0,0,1,0,blockwell.ai KYC Casper Token,0,46.5,2.1004249999999998e-05,2.1004249999999998e-05,22816.833333333332,23,40,63,7.25,12,558,35,523
